Instância;n;Melhor Sol.;Opt;Sol. AS;Lim. Iter. AS;T (s) AS;%gap AS;Sol. AC;Lim. Iter. AC;T (s) AC;%gap AC;Sol. GS;Lim. Iter. GS;T (s) GS;%gap GS;Sol. GC;Lim. Iter. GC;T (s) GC;%gap GC
X-n317-k53;316;78355;sim;210135;;0,00;168,18;118658;*;256,74;51,44;81173;;0,01;3,60;81173;*;12,83;3,60
X-n322-k28;321;29834;sim;173927;;0,00;482,98;69332;*;97,85;132,39;36389;;0,01;21,97;36389;*;13,29;21,97
X-n327-k20;326;27532;não;161196;;0,00;485,49;88794;*;269,25;222,51;32567;;0,01;18,29;32567;*;13,27;18,29
X-n331-k15;330;31102;sim;190080;;0,00;511,15;104934;*;177,57;237,39;36361;;0,01;16,91;36361;*;11,46;16,91
X-n336-k84;335;139111;não;284547;;0,00;104,55;185392;*;534,06;33,27;161920;;0,02;16,40;161215;*;69,24;15,89
X-n344-k43;343;42050;não;186568;;0,00;343,68;89062;*;64,20;111,80;49469;;0,01;17,64;49469;*;15,89;17,64
X-n351-k40;350;25896;não;121239;;0,00;368,18;48934;*;527,60;88,96;31083;;0,02;20,03;30936;*;31,53;19,46
X-n359-k29;358;51505;não;206834;;0,00;301,58;115804;*;273,96;124,84;58700;;0,02;13,97;58700;*;17,69;13,97
X-n367-k17;366;22814;não;152341;;0,00;567,75;71630;*;207,57;213,97;29447;;0,02;29,07;29447;*;15,24;29,07
X-n376-k94;375;147713;sim;286105;;0,00;93,69;202304;*;352,88;36,96;150690;;0,02;2,02;150640;*;29,53;1,98
X-n384-k52;383;65940;não;228168;;0,00;246,02;137415;*;182,71;108,39;73709;;0,02;11,78;72833;*;102,41;10,45
X-n393-k38;392;38260;sim;193181;;0,00;404,92;88654;*;286,11;131,71;44181;;0,02;15,48;44181;*;17,52;15,48
X-n401-k29;400;66187;não;226710;;0,00;242,53;138208;*;173,56;108,81;72710;;0,02;9,86;72710;*;25,04;9,86
X-n411-k19;410;19712;não;187147;;0,00;849,41;76435;*;400,72;287,76;26386;;0,02;33,86;26386;*;15,80;33,86
X-n420-k130;419;107798;sim;245072;;0,00;127,34;132544;*;2637,86;22,96;129264;;0,03;19,91;127538;*;338,62;18,31
X-n429-k61;428;65467;não;244288;;0,00;273,15;131402;*;397,25;100,71;73474;;0,02;12,23;73474;*;20,63;12,23
X-n439-k37;438;36391;sim;225873;;0,00;520,68;91585;*;262,68;151,67;41252;;0,02;13,36;41252;*;16,56;13,36
X-n449-k29;448;55254;não;262518;;0,00;375,11;163099;*;236,96;195,18;64360;;0,02;16,48;64360;*;22,15;16,48
X-n459-k26;458;24141;não;167684;;0,00;594,60;70225;*;629,01;190,90;29054;;0,03;20,35;29054;*;27,86;20,35
X-n469-k138;468;221824;sim;402845;;0,00;81,61;279745;*;628,47;26,11;253437;;0,03;14,25;253437;*;25,16;14,25
X-n480-k70;479;89449;não;272697;;0,00;204,86;158323;*;518,01;77,00;99344;;0,03;11,06;99344;*;21,57;11,06
X-n491-k59;490;66487;não;279768;;0,00;320,79;136660;*;689,18;105,54;75195;;0,03;13,10;75195;*;32,03;13,10
X-n502-k39;501;69226;não;282399;;0,00;307,94;137344;*;231,81;98,40;72113;;0,03;4,17;72113;*;18,99;4,17
X-n513-k21;512;24201;não;223687;;0,00;824,29;99309;*;361,69;310,35;30606;;0,03;26,47;30606;*;21,39;26,47
X-n524-k153;523;154593;sim;349087;;0,00;125,81;220276;*;932,57;42,49;197764;;0,04;27,93;187493;*;217,20;21,28
X-n536-k96;535;94868;não;322315;;0,00;239,75;156250;*;139,73;64,70;107873;;0,04;13,71;107873;*;26,86;13,71
X-n548-k50;547;86700;sim;335054;;0,00;286,45;212687;*;1067,21;145,31;92596;;0,04;6,80;92596;*;21,46;6,80
X-n561-k42;560;42717;não;291816;;0,00;583,14;118175;*;474,84;176,65;50806;;0,04;18,94;50806;*;25,82;18,94
X-n573-k30;572;50673;não;165388;;0,00;226,38;114131;*;334,83;125,23;60763;;0,04;19,91;60763;*;23,90;19,91
X-n586-k159;585;190316;não;426195;;0,00;123,94;250930;*;1396,91;31,85;212961;;0,05;11,90;212961;*;32,27;11,90
X-n599-k92;598;108451;não;361924;;0,00;233,72;209865;*;1705,64;93,51;119644;;0,05;10,32;119644;*;27,89;10,32
X-n613-k62;612;59545;não;340467;;0,00;471,78;133716;*;1516,55;124,56;71495;;0,05;20,07;71276;*;34,46;19,70
X-n627-k43;626;62173;não;320876;;0,00;416,10;176426;*;1713,60;183,77;67334;;0,05;8,30;67334;*;28,47;8,30
X-n641-k35;640;63705;não;360539;;0,00;465,95;234334;*;767,17;267,84;71768;;0,05;12,66;71768;*;26,47;12,66
X-n655-k131;654;106780;sim;251426;;0,00;135,46;167580;*;446,85;56,94;109947;;0,06;2,97;109947;*;28,13;2,97
X-n670-k130;669;146332;não;423537;;0,00;189,44;255860;*;1600,88;74,85;189214;;0,08;29,30;189214;*;36,04;29,30
X-n685-k75;684;68225;não;363406;;0,00;432,66;146510;*;926,04;114,75;79756;;0,06;16,90;79733;*;66,90;16,87
X-n701-k44;700;81923;não;390245;;0,00;376,36;256647;*;1069,60;213,28;92256;;0,06;12,61;92256;*;32,45;12,61
X-n716-k35;715;43387;não;303632;;0,01;599,82;150838;*;1818,80;247,66;50482;;0,06;16,35;50482;*;34,17;16,35
X-n733-k159;732;136190;não;441064;;0,00;223,86;213142;*;536,46;56,50;157266;;0,08;15,48;156357;*;133,14;14,81
X-n749-k98;748;77314;não;316740;;0,00;309,68;172461;*;1853,30;123,07;87715;;0,07;13,45;87715;*;41,77;13,45
X-n766-k71;765;114456;não;457213;;0,00;299,47;321870;*;1650,01;181,22;148619;;0,08;29,85;148619;*;41,18;29,85
X-n783-k48;782;72394;não;438503;;0,00;505,72;282054;*;2340,10;289,61;83128;;0,08;14,83;83128;*;38,77;14,83
X-n801-k40;800;73311;não;461758;;0,00;529,86;331763;*;1459,15;352,54;80603;;0,08;9,95;80603;*;30,64;9,95
X-n819-k171;818;158121;não;490219;;0,00;210,03;246835;*;431,05;56,11;177633;;0,10;12,34;177633;*;39,74;12,34
X-n837-k142;836;193737;não;526955;;0,00;172,00;379880;*;1943,67;96,08;213406;;0,10;10,15;213406;*;39,99;10,15
X-n856-k95;855;88990;não;489789;;0,00;450,39;210994;*;414,19;137,10;95120;;0,09;6,89;95120;*;34,23;6,89
X-n876-k59;875;99303;não;434885;;0,00;337,94;255228;*;1643,02;157,02;110556;;0,10;11,33;110556;*;41,78;11,33
X-n895-k37;894;53906;não;485139;;0,00;799,97;301696;*;3936,28;459,67;62804;;0,10;16,51;62804;*;36,68;16,51
X-n916-k207;915;329179;não;713734;;0,00;116,82;497996;*;7918,87;51,28;368087;;0,12;11,82;368087;*;44,19;11,82
X-n936-k151;935;132812;não;528126;;0,00;297,65;252470;*;1668,38;90,10;179401;;0,13;35,08;177730;*;64,98;33,82
X-n957-k87;956;85467;não;464338;;0,00;443,30;301840;*;912,42;253,17;92331;;0,12;8,03;92282;*;41,67;7,97
X-n979-k58;978;118988;não;574875;;0,00;383,14;394682;*;2346,76;231,70;129387;;0,12;8,74;129387;*;54,97;8,74
X-n1001-k43;1000;72369;não;556637;;0,00;669,16;406101;*;2060,36;461,15;83304;;0,12;15,11;83304;*;46,31;15,11
;Total;6311172;;23062123;;0,01;265,42;12827685;;77344,84;103,25;7286325;;3,00;15,45;7226881;;4083,50;14,51
